grade, unit, word, meaning_en, meaning_ar, synonyms, antonyms, usage_en, usage_ar
6,1,Ambition,A strong desire to achieve,ØãæÍ,Drive,Laziness,Her ambition is to be a pilot.,ØãæÍåÇ Ãä ÊÕÈÍ ØíÇÑÉ.
6,1,Brilliant,Very bright or clever,ÚÈŞÑí,Intelligent,Dull,That was a brilliant idea.,ßÇäÊ Êáß İßÑÉ ÚÈŞÑíÉ.
6,1,Candid,Truthful and straightforward,ÕÑíÍ,Honest,Dishonest,He gave a candid opinion.,áŞÏ ÃÚØì ÑÃíÇğ ÕÑíÍÇğ.
6,1,Diligent,Hard-working and careful,ãÌÊåÏ,Studious,Lazy,She is a diligent student.,ÅäåÇ ØÇáÈÉ ãÌÊåÏÉ.
6,1,Efficient,Working well without waste,İÚÇá,Productive,Wasteful,This is an efficient tool.,åĞå ÃÏÇÉ İÚÇáÉ.
6,1,Frequent,Happening often,ãÊßÑÑ,Common,Rare,We make frequent trips.,äŞæã ÈÑÍáÇÊ ãÊßÑÑÉ.
6,1,Grateful,Feeling thankful,ããÊä,Thankful,Ungrateful,I am grateful for your help.,ÃäÇ ããÊä áãÓÇÚÏÊß.
6,1,Humble,Not proud or arrogant,ãÊæÇÖÚ,Modest,Arrogant,He is a humble leader.,Åäå ŞÇÆÏ ãÊæÇÖÚ.
6,1,Immense,Extremely large or great,åÇÆá,Massive,Tiny,The ocean is immense.,ÇáãÍíØ åÇÆá.
6,1,Jovial,Cheerful and friendly,ãÑÍ,Joyful,Gloomy,He has a jovial personality.,áÏíå ÔÎÕíÉ ãÑÍÉ.
6,2,Kinetic,Related to motion,ÍÑßí,Active,Static,Kinetic energy is powerful.,ÇáØÇŞÉ ÇáÍÑßíÉ ŞæíÉ.
6,2,Loyal,Giving firm support,æİí,Faithful,Treacherous,A dog is a loyal friend.,ÇáßáÈ ÕÏíŞ æİí.
6,2,Marvel,To feel wonder,ÃÚÌæÈÉ,Wonder,Boredom,We marvel at the stars.,äÍä äÊÚÌÈ ãä ÇáäÌæã.
6,2,Noble,Having high moral qualities,äÈíá,Honorable,Mean,It was a noble gesture.,áŞÏ ßÇäÊ áİÊÉ äÈíáÉ.
6,2,Optimist,A hopeful person,ãÊİÇÆá,Dreamer,Pessimist,She is a true optimist.,ÅäåÇ ãÊİÇÆáÉ ÍŞíŞíÉ.
6,2,Patience,Accepting delay without anger,ÕÈÑ,Tolerance,Impatience,Patience is a virtue.,ÇáÕÈÑ İÖíáÉ.
6,2,Quaint,Attractively unusual/old,ÌÇĞÈ,Charming,Modern,It is a quaint village.,ÅäåÇ ŞÑíÉ ÌĞÇÈÉ.
6,2,Rigid,Unable to bend,ÕáÈ,Stiff,Flexible,The rules are very rigid.,ÇáŞæÇÚÏ ÕáÈÉ ááÛÇíÉ.
6,2,Scarce,Not enough for demand,äÇÏÑ,Rare,Abundant,Water is scarce in deserts.,ÇáãÇÁ äÇÏÑ İí ÇáÕÍ
